Hotel 2012 Receipt
Totals by Month and Service Type
Produced by Andy Thornburg
Date: May 6, 2013

           |         Lodging |      Dining     |   Conferences  |  Receptions |        Spa    |    Total    |
-------------------------------------------------------------------------------------------------------------
   January |        40851.00         9707.35       762601.53       305312.17         2280.09      1120752.14
  February |        34400.00        11222.62       778905.84       600736.68         4219.39      1429484.53
     March |        39249.00         9640.76       760808.52       291965.85         2362.72      1104026.85
     April |        57939.00         9428.26       754270.84       304718.61         2381.37      1128738.08
       May |        64000.00        12117.67       751065.12       597605.45         6622.54      1431410.78
      June |        34200.00         6078.93       514161.91       213437.68         4325.76       772204.28
      July |        89310.00        11917.83      2250764.68       619235.61         9474.88      2980703.00
    August |        84370.00        11553.35      2374490.68       625904.78         9433.67      3105752.48
 September |        59700.00        11565.52      2218885.29       615256.31         4674.75      2910081.87
   October |        67600.00        11687.79      2339932.14       612666.86         2313.84      3034200.63
  November |        60200.00        11462.29      2277268.22       621087.56         2202.07      2972220.14
  December |        46000.00        10114.29       768057.16       476852.80         2272.49      1303296.74
-------------------------------------------------------------------------------------------------------------
     Total |       677819.00       126496.66     16551211.93      5884780.36        52563.57     23292871.52
